step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
01810	40.700386	-24.676040	-8.503422	-5.012563	-2.513102	
01820	37.964161	-23.077093	-7.850302	-4.700306	-2.341257	
01830	35.139541	-21.420032	-7.183827	-4.376864	-2.163703	
01840	32.228204	-19.709640	-6.497419	-4.044340	-1.981765	
01850	29.231868	-17.953137	-5.783874	-3.703923	-1.795965	
01860	26.152297	-16.150169	-5.046023	-3.354714	-1.606417	
01870	22.971720	-14.295738	-4.282618	-2.990449	-1.408096	
01880	19.712849	-12.392828	-3.503833	-2.616545	-1.204915	
01890	16.377626	-10.442523	-2.710337	-2.233210	-0.996993	
01900	12.968029	-8.445739	-1.902354	-1.840853	-0.784614	
01910	9.486073	-6.405025	-1.077493	-1.440674	-0.568525	
01920	5.933811	-4.323737	-0.231466	-1.033919	-0.350142	
01930	2.297171	-2.204165	0.643484	-0.616171	-0.125707	
01940	-1.404101	-0.049073	1.535483	-0.190389	0.102604	
01950	-5.167803	2.145189	2.437412	0.244225	0.335400	
01960	-8.991704	4.380723	3.344899	0.687557	0.572797	
01970	-12.873542	6.660880	4.251094	1.140319	0.815456	
01980	-16.811026	8.976913	5.173963	1.595833	1.058569	
01990	-20.814183	11.338325	6.060793	2.084348	1.324935	
02000	-24.866719	13.899546	6.772690	2.593157	1.595910	
02010	-28.966226	16.294898	7.803930	3.034429	1.827768	
02020	-33.110273	18.659120	8.857252	3.508596	2.080082	
02030	-37.296409	21.062441	9.896472	3.993794	2.338381	
02040	-41.522163	23.516025	10.908692	4.489682	2.602450	
02050	-45.793267	26.023872	11.893079	4.997631	2.873523	
02060	-50.097278	28.578243	12.854782	5.512202	3.147638	
02070	-54.431645	31.165834	13.806059	6.031655	3.423642	
02080	-58.793799	33.782960	14.747506	6.556769	3.702236	
02090	-63.181158	36.426586	15.681843	7.085887	3.982550	
02100	-67.591127	39.079638	16.632768	7.613143	4.261068	
02110	-72.025006	41.722853	17.620279	8.138520	4.538591	
02120	-76.474518	44.351978	18.638240	8.663415	4.815958	
02130	-80.937019	46.974130	19.673989	9.189883	5.094190	
02140	-85.409867	49.598364	20.713160	9.719550	5.374019	
02150	-89.890419	52.230814	21.747196	10.252476	5.655204	
02160	-94.376020	54.870305	22.776692	10.787386	5.936842	
02170	-98.863493	57.512933	23.803281	11.323719	6.218816	
02180	-103.348942	60.157604	24.823746	11.861489	6.501529	
02190	-107.829695	62.804970	25.834265	12.400581	6.785528	
02200	-112.303104	65.453937	26.834042	12.940196	7.070968	
02210	-116.766523	68.101076	27.825535	13.479191	7.357342	
02220	-121.217297	70.741349	28.813233	14.016573	7.643337	
02230	-125.647878	73.369286	29.800049	14.550231	7.925554	
02240	-130.058815	75.981870	30.790069	15.080912	8.202576	
