step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
02140	-21.142787	12.091271	5.162378	1.131197	2.421270	
02150	-22.130420	12.955988	5.890004	1.552474	2.870539	
02160	-23.135417	13.450385	5.972165	1.670087	2.930692	
02170	-24.138390	13.878553	5.901580	1.517772	2.882283	
02180	-25.118507	14.498275	6.248030	1.645309	3.019213	
02190	-26.058281	15.131469	6.709118	1.833670	3.222665	
02200	-26.939288	15.562945	6.780249	1.798544	3.251704	
02210	-27.742222	15.902577	6.597793	1.600780	3.154406	
02220	-28.446969	16.264065	6.544933	1.501190	3.137507	
02230	-28.993798	16.764526	6.783933	1.582976	3.279127	
02240	-29.385163	17.242935	7.136546	1.801393	3.509224	
